id,label_en
Q108388,الناصر إلى الحق الحسن بن علي « الأطروش »
Q108413,عبيد الله الثالث أبو علي
Q108543,الخليفة موسى الهادي  بن المهدي
Q108545,الخليفة هارون الرشيد  بن المهدي
Q108553,الخيزران
Q108555,موسى الهادي
Q108557,هارون الرشيد
Q108559,العباسة أو علية
Q108567,سعد  بن تيم
Q108717,عيسى
Q108763,يحيى الزاهد  الحسني
Q108831,محمد  الحسيني
Q108843,سید محمد بن احمد اعرابی
Q108851,إبراهيم المرتضى
Q108853,إبراهيم المرتضى
Q108855,إبراهيم المرتضى
Q108857,إبراهيم المرتضى
Q108859,الحسين الرضى
Q108861,طاهر أبو الطيب
Q108863,إبراهيم المرتضى
Q108865,إبراهيم المرتضى
Q108867,إبراهيم المرتضى
Q108869,إبراهيم المرتضى
Q108871,إبراهيم المرتضى
Q108873,إبراهيم المرتضى
Q109076,المهدي محمد بن الحسن الداعي
Q109096,الأمير محمد الأشترأمير المدينة
Q109234,زبيدة
Q109236,محمد الأمين
Q109238,مراجل الفارسية
Q109240,عبد الله المأمون
Q109242,ماردة أم ولد
Q109244,محمد المعتصم بالله
Q109266,كعب  بن سعد
Q109408,حرمة
Q109448,فاطمة بنت أحمد القرشية
Q109450,عبد الله الجيلي  الحسني
Q109456,يحي  الهاشمي
Q109530,حسين  الحسيني
Q109544,Seyyed Ismail  سید اسمعیل
Q109560,إبراهيم المرتضى
Q109562,إبراهيم المرتضى
Q109564,الشريف أبو القاسم  بن الشريف محمود
Q109566,محمد المحدث
Q109568,إبراهيم المرتضى
Q109570,إبراهيم المرتضى
Q109572,إبراهيم المرتضى
Q109574,إبراهيم المرتضى
Q109757,الأمير النقيب محمد أبو علي
Q109883,هارون الواثق بالله
Q109885,جعفر المتوكل على الله
Q109887,محمد
Q109917,عمرو  بن كعب
Q109935,معاویة بن یزید 3rd Umayyad Caliph
Q110039,علي
Q110041,علي
Q110063,موسى الثالث
Q110069,عيسى  الهاشمي
Q110131,أحمد  الحسيني
Q110145,Seyyed Mohammad  سید محمد
Q110159,إبراهيم المرتضى
Q110161,الشريف محمود  بن الشريف حسين الرضي
Q110163,عبد الله  الحسيني
Q110311,النقيب أحمد أبو عبد الله
Q110427,محمد المهتدي بالله
Q110429,أحمد المستعين بالله
Q110565,أبي بكر
Q110567,أبي بكر
Q110595,أبي عبد الله الحسين الشهيربقضيب البان  الموصلي
Q110603,حمزة  الوهاسي
Q110659,محمود  الحسيني
Q110673,Seyyed Jaffar  سید جعفر
Q110675,سید محمد
Q110693,بن الشريف حسين الرضي
Q110695,بن الشريف حسين الرضي
